org_code,district,district_type,grade_level,county,enrolled,econ_disadvantaged,percent_white,percent_black,percent_hispanic,meets_expectations_ELA,meets_expectations_math,percent_grads_attending_college,avg_SAT_score,percent_graduating_4_yrs,FTE_teachers_per_100_students,avg_teacher_salary,teacher_retention,dollars_per_student,ch_70_aid_per_student
300000,Beverly,Municipal,K12,Essex,4565,0.254,0.772,0.034,0.134,0.56,0.51,0.73,1120,0.876,7.37592552,74434.79939,0.905,13480,1849.88904
1500000,Lee,Municipal,K12,Berkshire,703,0.339,0.848,0.006,0.085,0.51,0.5,0.627,1147,0.811,9.971550498,67772.68798,0.893,18749,3327.888889
1510000,Leicester,Municipal,K12,Worcester,1536,0.257,0.801,0.054,0.089,0.36,0.35,0.73,1054,0.964,7.334309896,72002.41257,0.957,13001,6174.586709
1520000,Lenox,Municipal,K12,Berkshire,756,0.16,0.829,0.004,0.085,0.66,0.66,0.758,1172,1,10.12460317,77651.77972,0.893,19811,2485.583004
1530000,Leominster,Municipal,K12,Worcester,6027,0.386,0.493,0.082,0.349,0.43,0.46,0.697,1074,0.872,7.286925502,76447.09308,0.924,13277,7239.796663
3470000,Woburn,Municipal,K12,Middlesex,4524,0.251,0.71,0.074,0.103,0.52,0.46,0.751,1100,0.899,8.123275862,81497.47523,0.903,16909,1945.329899
1760000,Medford,Municipal,K12,Middlesex,4232,0.289,0.596,0.128,0.127,0.49,0.4,0.794,1086,0.897,9.344376181,71115.12902,0.898,17632,2573.368917
2460000,Reading,Municipal,K12,Middlesex,4210,0.083,0.868,0.025,0.028,0.68,0.63,0.92,1160,0.961,7.549976247,76135.28891,0.927,13193,2627.816777
1590000,Longmeadow,Municipal,K12,Hampden,2874,0.07,0.787,0.024,0.05,0.71,0.69,0.938,1219,0.965,8.605149617,75343.50394,0.922,14496,1841.619398
1780000,Melrose,Municipal,K12,Middlesex,3945,0.105,0.79,0.053,0.049,0.7,0.64,0.871,1117,0.945,6.799771863,65623.71423,0.901,11816,2168.441632
1610000,Ludlow,Municipal,K12,Hampden,2594,0.274,0.835,0.02,0.108,0.36,0.38,0.817,1098,0.897,8.590979183,67942.18722,0.917,15867,5338.401946
1620000,Lunenburg,Municipal,K12,Worcester,1649,0.167,0.861,0.021,0.07,0.5,0.53,0.823,1159,0.939,6.698544572,74235.51694,0.868,13693,4392.815851
2580000,Salem,Municipal,K12,Essex,3718,0.482,0.46,0.067,0.393,0.4,0.34,0.556,963,0.824,9.105513717,94131.71427,0.783,19506,4825.228767
1390000,Hopkinton,Municipal,K12,Middlesex,3685,0.045,0.751,0.007,0.035,0.78,0.78,0.893,1225,0.98,7.092808684,90905.7508,0.912,14537,1937.43796
790000,Dracut,Municipal,K12,Middlesex,3582,0.219,0.753,0.066,0.095,0.51,0.44,0.821,1104,0.888,6.264433277,76066.34065,0.902,11599,5026.625944
1670000,Mansfield,Municipal,K12,Bristol,3784,0.134,0.813,0.036,0.047,0.6,0.59,0.9,1176,0.941,7.990750529,86935.48185,0.954,15676,4780.905378
480000,Burlington,Municipal,K12,Middlesex,3533,0.114,0.664,0.061,0.062,0.52,0.56,0.85,1134,0.947,8.912595528,98474.27472,0.927,19982,1864.206309
3050000,Wakefield,Municipal,K12,Middlesex,3485,0.122,0.832,0.029,0.068,0.54,0.53,0.808,1131,0.949,7.47804878,79963.30821,0.928,14543,1824.223337
1710000,Marshfield,Municipal,K12,Plymouth,4060,0.118,0.935,0.004,0.029,0.69,0.65,0.827,1124,0.971,7.971970443,75522.53969,0.902,13186,3567.199657
1720000,Mashpee,Municipal,K12,Barnstable,1616,0.298,0.739,0.043,0.05,0.52,0.48,0.75,1077,0.922,8.679269802,75554.17261,0.903,17258,2780.591157
710000,Danvers,Municipal,K12,Essex,3481,0.159,0.844,0.023,0.078,0.47,0.42,0.843,1099,0.922,7.689255961,78006.71297,0.91,15332,1944.918215
1750000,Medfield,Municipal,K12,Norfolk,2600,0.05,0.873,0.01,0.039,0.69,0.72,0.921,1206,0.974,7.821576923,87169.8921,0.911,15262,2473.38535
2950000,Tewksbury,Municipal,K12,Middlesex,3402,0.151,0.871,0.034,0.046,0.56,0.52,0.782,1115,0.926,7.67569077,75590.66353,0.913,16111,3805.51223
1770000,Medway,Municipal,K12,Norfolk,2222,0.101,0.893,0.015,0.039,0.66,0.65,0.838,1138,0.956,7.117371737,82776.61509,0.855,13985,4747.429026
3420000,Wilmington,Municipal,K12,Middlesex,3197,0.092,0.857,0.013,0.043,0.58,0.63,0.829,1101,0.967,8.557960588,76487.9553,0.913,15968,3358.508565
1820000,Middleborough,Municipal,K12,Plymouth,2976,0.29,0.886,0.025,0.031,0.47,0.48,0.706,1065,0.96,7.274865591,74134.1436,0.871,14252,5901.358957
1680000,Marblehead,Municipal,K12,Essex,3051,0.094,0.854,0.028,0.069,0.69,0.64,0.848,1193,0.968,8.442412324,77375,0.857,15780,1831.009724
1850000,Milford,Municipal,K12,Worcester,4277,0.332,0.614,0.029,0.284,0.48,0.4,0.719,1091,0.851,7.836076689,80963.80024,0.883,14212,5858.346805
1860000,Millbury,Municipal,K12,Worcester,1692,0.264,0.812,0.028,0.074,0.47,0.44,0.688,1087,0.939,7.724586288,78928.10358,0.883,15745,4181.222348
1870000,Millis,Municipal,K12,Norfolk,1223,0.118,0.846,0.011,0.079,0.61,0.6,0.89,1105,0.947,7.817252657,85841.01742,0.941,14216,4075.558199
1890000,Milton,Municipal,K12,Norfolk,4265,0.089,0.694,0.142,0.044,0.65,0.67,0.871,1169,0.941,7.19852286,82613.28627,0.881,14329,2006.746936
1910000,Monson,Municipal,K12,Hampden,917,0.269,0.915,0.009,0.037,0.5,0.44,0.877,1119,0.844,8.819520174,61103.71257,0.917,16466,8043.891863
1360000,Holliston,Municipal,K12,Middlesex,2889,0.067,0.825,0.01,0.051,0.63,0.6,0.892,1192,0.968,7.371062651,82958.01501,0.921,12980,2834.930268
1970000,Nantucket,Municipal,K12,Nantucket,1670,0.217,0.52,0.104,0.317,0.41,0.31,0.677,1070,0.803,8.814251497,87728.8424,0.88,21938,2194.288628
1070000,Gloucester,Municipal,K12,Essex,2886,0.353,0.83,0.018,0.102,0.47,0.44,0.597,1087,0.863,8.731704782,79685.59732,0.899,16836,2071.206488
1990000,Needham,Municipal,K12,Norfolk,5721,0.053,0.773,0.029,0.058,0.76,0.72,0.861,1226,0.968,7.121692012,95183.77511,0.91,17213,1797.297907
2010000,New Bedford,Municipal,K12,Bristol,12845,0.661,0.398,0.132,0.403,0.33,0.3,0.413,962,0.586,7.23729856,72849.99757,0.836,13977,10566.42387
140000,Ashland,Municipal,K12,Middlesex,2845,0.13,0.671,0.025,0.117,0.63,0.6,0.856,1169,0.946,7.147029877,79627.89189,0.921,13571,2369.612553
3150000,Wayland,Municipal,K12,Middlesex,2695,0.057,0.691,0.051,0.045,0.78,0.76,0.889,1256,0.972,8.018404453,97739.13617,0.909,18107,1755.503589
2090000,North Adams,Municipal,K12,Berkshire,1365,0.574,0.826,0.026,0.064,0.37,0.26,0.534,1014,0.763,9.144322344,63967.98544,0.896,16762,9270.291582
2100000,Northampton,Municipal,K12,Hampshire,2626,0.265,0.698,0.028,0.167,0.53,0.48,0.801,1190,0.93,8.814089871,61432.73002,0.871,14505,2756.103575
230000,Bedford,Municipal,K12,Middlesex,2658,0.087,0.653,0.062,0.058,0.7,0.68,0.826,1226,0.951,8.781000752,89004.21291,0.922,17595,1835.631342
2120000,North Attleborough,Municipal,K12,Bristol,4155,0.166,0.804,0.039,0.047,0.62,0.59,0.863,1126,0.953,6.805583634,76503.85382,0.883,12360,4785.072393
2140000,Northbridge,Municipal,K12,Worcester,2077,0.294,0.852,0.01,0.083,0.48,0.46,0.72,1071,0.914,7.932546943,71804.99494,0.844,14053,6968.583408
2150000,North Brookfield,Municipal,K12,Worcester,570,0.319,0.904,0.007,0.051,0.31,0.26,0.533,1128,0.789,8.018596491,63857.34899,0.891,14987,7015.711002
2180000,Norton,Municipal,K12,Bristol,2438,0.191,0.88,0.02,0.039,0.54,0.48,0.821,1107,0.932,7.372887613,70307.06308,0.891,14050,5053.248811
2190000,Norwell,Municipal,K12,Plymouth,2192,0.038,0.929,0.005,0.016,0.73,0.68,0.923,1165,0.988,7.472354015,84395.74052,0.94,15368,1748.51374
2200000,Norwood,Municipal,K12,Norfolk,3422,0.235,0.65,0.111,0.127,0.49,0.52,0.786,1111,0.935,7.929281122,79554.41906,0.937,15850,1941.408627
2260000,Oxford,Municipal,K12,Worcester,1639,0.325,0.794,0.022,0.118,0.41,0.37,0.621,1003,0.867,7.505552166,69535.57818,0.937,13192,5950.624788
2270000,Palmer,Municipal,K12,Hampden,1335,0.392,0.79,0.031,0.109,0.47,0.33,0.694,1084,0.814,8.5917603,69014.64706,0.807,14582,7391.658736
2620000,Saugus,Municipal,K12,Essex,2609,0.297,0.681,0.049,0.187,0.43,0.46,0.782,1012,0.84,7.774587965,78146.46928,0.921,15702,2104.172074
2310000,Pembroke,Municipal,K12,Plymouth,2797,0.124,0.962,0.006,0.004,0.56,0.6,0.838,1114,0.981,7.137289954,83802.71589,0.913,13559,4659.459683
2360000,Pittsfield,Municipal,K12,Berkshire,5429,0.512,0.638,0.111,0.145,0.34,0.33,0.645,1052,0.806,9.024534905,67934.8651,0.866,15846,7100.246464
2390000,Plymouth,Municipal,K12,Plymouth,7394,0.232,0.87,0.019,0.052,0.52,0.45,0.661,1017,0.919,8.62726535,71764.32466,0.898,17114,3222.918095
2430000,Quincy,Municipal,K12,Norfolk,9436,0.345,0.438,0.069,0.061,0.6,0.54,0.744,1100,0.923,7.469139466,79845.87745,0.927,15478,3006.26534
2440000,Randolph,Municipal,K12,Norfolk,2737,0.446,0.117,0.499,0.15,0.39,0.35,0.729,1026,0.77,9.12605042,79374.85741,0.883,17774,5256.556493
3140000,Watertown,Municipal,K12,Middlesex,2608,0.249,0.649,0.038,0.172,0.52,0.43,0.862,1109,0.913,10.05444785,84380.1,0.901,20422,1983.32696
2480000,Revere,Municipal,K12,Suffolk,7544,0.471,0.343,0.034,0.553,0.46,0.43,0.671,1001,0.795,7.382158006,84031.35562,0.895,13222,8287.536835
2510000,Rockland,Municipal,K12,Plymouth,2228,0.325,0.753,0.053,0.143,0.46,0.4,0.731,1055,0.873,7.768043088,68653.21502,0.872,15568,6041.620614
1410000,Hudson,Municipal,K12,Middlesex,2544,0.208,0.817,0.018,0.118,0.52,0.5,0.795,1123,0.888,8.962578616,76465.06252,0.869,15968,4422.483704
2610000,Sandwich,Municipal,K12,Barnstable,2510,0.159,0.926,0.012,0.023,0.54,0.52,0.82,1100,0.932,7.916095618,83971.777,0.913,17000,2580.886131
2640000,Scituate,Municipal,K12,Plymouth,2991,0.104,0.932,0.026,0.015,0.72,0.64,0.895,1161,0.923,8.023169509,90248.3863,0.903,14973,1904.560538
2650000,Seekonk,Municipal,K12,Bristol,2087,0.138,0.863,0.02,0.05,0.62,0.57,0.827,1107,0.943,7.607570676,80793.38226,0.939,15347,2721.606287
2660000,Sharon,Municipal,K12,Norfolk,3588,0.079,0.558,0.048,0.052,0.73,0.76,0.874,1239,0.973,7.214659978,92007.22785,0.902,16030,2123.853962
2710000,Shrewsbury,Municipal,K12,Worcester,6207,0.105,0.533,0.029,0.082,0.73,0.7,0.854,1188,0.947,6.663766715,78585.46314,0.914,12989,3290.429848
2170000,North Reading,Municipal,K12,Middlesex,2398,0.078,0.889,0.006,0.034,0.69,0.68,0.894,1132,0.982,8.344036697,78597.73287,0.89,15033,2918.63494
2770000,Southbridge,Municipal,K12,Worcester,2004,0.697,0.373,0.02,0.573,0.18,0.15,0.468,947,0.684,7.915818363,73514.47008,0.574,16627,9186.395419
2780000,South Hadley,Municipal,K12,Hampshire,1914,0.249,0.798,0.018,0.137,0.49,0.45,0.723,1155,0.916,7.667189133,70181.44438,0.918,13853,4168.645801
2810000,Springfield,Municipal,K12,Hampden,25297,0.767,0.102,0.189,0.666,0.3,0.24,0.527,876,0.769,7.578341305,71001.02367,0.834,15865,11642.98163
2840000,Stoneham,Municipal,K12,Middlesex,2396,0.161,0.8,0.025,0.085,0.63,0.52,0.849,1093,0.931,8.153171953,73930.70111,0.879,15751,1839.313228
2850000,Stoughton,Municipal,K12,Norfolk,3500,0.285,0.534,0.232,0.117,0.52,0.49,0.789,1058,0.911,8.5154,78911.15424,0.877,14875,4266.560312
2900000,Sutton,Municipal,K12,Worcester,1354,0.104,0.914,0.01,0.022,0.63,0.55,0.824,1109,0.939,7.333530281,75436.58305,0.981,13542,3919.333573
