org_code,district,district_type,grade_level,county,enrolled,econ_disadvantaged,percent_white,percent_black,percent_hispanic,meets_expectations_ELA,meets_expectations_math,percent_grads_attending_college,avg_SAT_score,percent_graduating_4_yrs,FTE_teachers_per_100_students,avg_teacher_salary,teacher_retention,dollars_per_student,ch_70_aid_per_student
6750000,Hamilton-Wenham,Regional,K12,Essex,1769,0.071,0.893,0.005,0.042,0.72,0.63,0.863,1192,0.929,8.459977388,81050.97128,0.921,16957,2069.992081
6160000,Ayer Shirley,Regional,K12,Middlesex,1712,0.249,0.759,0.04,0.105,0.46,0.39,0.802,1122,0.914,8.075350467,63016.99158,0.879,14261,4746.444764
6030000,Adams-Cheshire,Regional,K12,Berkshire,1161,0.494,0.898,0.038,0.029,0.4,0.24,0.663,1040,0.88,6.850904393,82425.73759,0.851,15722,7647.163084
6100000,Ashburnham-Westminster,Regional,K12,Worcester,2354,0.158,0.91,0.006,0.048,0.53,0.49,0.857,1113,0.956,6.785386576,69127.20409,0.94,12389,4982.053982
6150000,Athol-Royalston,Regional,K12,Worcester,1453,0.487,0.846,0.014,0.092,0.36,0.33,0.529,994,0.752,7.322849277,64603.77114,0.773,14438,9995.155351
6180000,Berkshire Hills,Regional,K12,Berkshire,1203,0.29,0.813,0.017,0.087,0.47,0.38,0.705,1150,0.898,9.217871987,73632.32704,0.903,20978,2756.968661
6220000,Blackstone-Millville,Regional,K12,Worcester,1699,0.22,0.871,0.011,0.069,0.44,0.41,0.648,1075,0.87,7.074161271,68954.18345,0.855,13509,6229.583476
6250000,Bridgewater-Raynham,Regional,K12,Bristol,5375,0.161,0.87,0.052,0.011,0.57,0.58,0.778,1122,0.94,6.105972093,88305.06975,0.933,12832,3959.343808
6350000,Central Berkshire,Regional,K12,Berkshire,1579,0.305,0.911,0.006,0.039,0.4,0.39,0.744,1103,0.927,7.707409753,73631.72138,0.922,16519,5420.00559
6450000,Dennis-Yarmouth,Regional,K12,Barnstable,3025,0.399,0.671,0.094,0.125,0.36,0.38,0.723,1037,0.817,8.907933884,74672.66363,0.893,16761,2112.672146
6500000,Dighton-Rehoboth,Regional,K12,Bristol,2902,0.158,0.896,0.011,0.045,0.54,0.49,0.75,1088,0.907,7.901102688,72298.72583,0.906,14104,4450.216459
6580000,Dudley-Charlton,Regional,K12,Worcester,3800,0.21,0.857,0.016,0.084,0.54,0.48,0.781,1120,0.909,6.949973684,70593.67747,0.912,11920,6474.95166
6650000,Freetown-Lakeville,Regional,K12,Bristol,2801,0.172,0.938,0.014,0.017,0.55,0.57,0.803,1124,0.928,7.026062121,75615.93486,0.933,12843,3887.852152
6720000,Gateway,Regional,K12,Hampshire,825,0.31,0.918,0.008,0.042,0.47,0.4,0.561,1084,0.83,9.84230303,61873.69565,0.963,18040,6497
6740000,Gill-Montague,Regional,K12,Franklin,935,0.474,0.797,0.013,0.114,0.35,0.23,0.667,1042,0.818,9.454652406,61784.71597,0.826,18192,5657.856233
6800000,Hampden-Wilbraham,Regional,K12,Hampden,3057,0.15,0.842,0.025,0.071,0.59,0.51,0.801,1138,0.957,7.053680079,78732.9251,0.895,14946,3987.658915
