Org_Code,District,District_Type,Grade_Level,Single_School_District,County,Enrolled,Econ_disadv,Students_with_disabilities,English_learners,Five_Yr_change_in_enroll,Ten_Yr_change_in_enroll,Student_mobility,Choice_in_percent_of_enrolled,ELA_meet_exceed_expectations,Math_meet_exceed_expectations,ELA_student_growth_percentile,Math_student_growth_percentile,FTE_tchrs_per_100_students,Av_tchr_salary,Teacher_retention,Funds_per_indistrict_pupil,Foundation_enroll,Above_Below_req_net_school_spending,Combined_effort_yield_as_percent_of_foundation_budget,Ch_70_aid_per_pupil
02960000,Tisbury,Municipal,Elementary,Single,Dukes,297,27.6,16.2,24.6,-8.9,-2.9,11.6,6.1,74.0,65.0,57.2,47.3,12.7,"89,523",86.4,"27,274","1913",218.82,183,"1902"
01640000,Lynnfield,Municipal,K12,,Essex,"2201",7.2,17.7,2.1,-0.9,-6.8,2.5,0.0,71.0,76.0,49.2,51.5,7.2,"86,133",92.4,"16,045","1950",141.96,109,"1954"
03000000,Truro,Municipal,Elementary,Single,Barnstable,106,34.9,16.7,0.9,-22.6,-24.8,9.1,18.9,53.0,33.0,64.8,51.5,15.1,"75,659",88.9,"43,809","1888",306.28,431,"2038"
03300000,Weston,Municipal,K12,,Middlesex,"2103",5.2,17.1,3.2,-9.9,-12.5,2.9,0.0,81.0,77.0,60.0,56.5,8.4,"101,652",87.6,"24,507","1658",219.26,370,"1776"
03040000,Uxbridge,Municipal,K12,,Worcester,"1722",18.9,17.1,1.6,-9.3,-16.0,7.9,6.2,49.0,45.0,49.1,44.4,7.5,"86,972",91.1,"15,071","4993",126.97,60,"5276"
00670000,Concord,Municipal,Elementary,,Middlesex,"2099",6.7,18.8,2.9,-3.6,11.9,3.8,0.0,77.0,75.0,51.3,48.7,7.9,"99,501",88.6,"20,356","1592",200.64,184,"1688"
03060000,Wales,Municipal,Elementary,Single,Hampden,147,34.7,20.9,0.0,-6.4,-15.5,10.1,4.1,66.0,60.0,45.2,66.2,7.1,"76,808",85.7,"13,332","6276",121.88,37,"6306"
03070000,Walpole,Municipal,K12,,Norfolk,"3753",9.7,13.9,3.1,-6.1,-4.3,3.9,0.0,66.0,65.0,51.1,52.3,7.8,"76,548",92.7,"14,919","2126",131.53,88,"2163"
00070000,Amesbury,Municipal,K12,,Essex,"2058",23.0,21.0,1.7,-12.4,-14.6,7.8,1.6,47.0,43.0,42.8,44.3,8.3,"89,167",91.9,"15,747","4087",131.78,66,"4153"
03090000,Ware,Municipal,K12,,Hampshire,"1189",51.1,20.0,1.2,-6.2,-4.3,13.1,2.9,40.0,27.0,47.3,53.6,7.7,"63,664",87.0,"14,648","7060",105.92,35,"7331"
03100000,Wareham,Municipal,K12,,Plymouth,"2126",50.8,26.1,1.3,-22.6,-33.6,12.5,2.5,37.0,30.0,51.2,54.4,8.4,"74,431",82.8,"17,115","4937",119.73,56,"5207"
07050000,Masconomet,Regional,Secondary,,Essex,"1785",5.6,18.5,0.4,-13.0,-16.9,1.7,0.0,71.0,72.0,59.9,53.2,7.4,"93,705",93.4,"17,420","2705",139.09,115,"2788"
06750000,Hamilton-Wenham,Regional,K12,,Essex,"1769",7.1,17.6,0.5,-6.0,-15.0,4.0,4.4,72.0,63.0,57.1,48.8,8.5,"81,051",92.1,"16,957","2079",160.44,124,"2070"
03160000,Webster,Municipal,K12,,Worcester,"1831",52.9,21.3,9.6,-1.5,-5.4,15.8,1.6,32.0,19.0,53.4,52.1,7.6,"69,763",88.5,"14,724","6162",110.83,45,"6336"
