Org_Code,District,District_Type,Grade_Level,Single_School_District,County,Enrolled,Econ_disadv,Students_with_disabilities,English_learners,Five_Yr_change_in_enroll,Ten_Yr_change_in_enroll,Student_mobility,Choice_in_percent_of_enrolled,ELA_meet_exceed_expectations,Math_meet_exceed_expectations,ELA_student_growth_percentile,Math_student_growth_percentile,FTE_tchrs_per_100_students,Av_tchr_salary,Teacher_retention,Funds_per_indistrict_pupil,Foundation_enroll,Above_Below_req_net_school_spending,Combined_effort_yield_as_percent_of_foundation_budget,Ch_70_aid_per_pupil
04920000,Martin Luther King Jr. Charter of Excellence,CharterC,Elementary,Single,,372,72.8,18.8,24.2,--,--,9.0,0.0,47.0,62.0,50.6,67.8,9.6,,75.7,0,,,0,--
04930000,Phoenix Charter Academy,CharterC,Secondary,Single,,201,45.8,10.9,58.7,--,--,52.4,0.0,,,,,7.0,,68.8,0,,,0,--
04940000,Pioneer Charter School of Science,CharterC,K12,Single,,789,39.9,9.8,27.1,--,--,15.2,0.0,61.0,62.0,53.5,53.1,9.7,,65.3,0,,,0,--
04960000,Global Learning,CharterC,Secondary,Single,,505,53.5,14.3,9.9,--,--,5.8,0.0,30.0,33.0,45.3,43.6,8.8,,71.1,0,,,0,--
04970000,Pioneer Valley Chinese Immersion,CharterC,K12,Single,,529,15.7,5.5,3.2,--,--,0.8,0.0,72.0,67.0,61.4,51.8,12.9,,72.1,0,,,0,--
04980000,Veritas Preparatory,CharterC,Secondary,Single,,347,71.5,17.9,11.8,--,--,12.6,0.0,54.0,53.0,57.5,58.8,8.4,,54.8,0,,,0,--
04990000,Hampden Charter School of Science,CharterC,Secondary,Single,,508,43.1,9.4,3.7,--,--,7.5,0.0,48.0,50.0,45.3,42.0,8.2,,70.8,0,,,0,--
06950000,Lincoln-Sudbury,Regional,Secondary,Single,Middlesex,"1528",6.3,19.9,0.5,-6.9,-6.7,2.0,0.0,,,,,8.3,"102,175",91.5,"18,876","1839",158.09,132,"1922"
06030000,Adams-Cheshire,Regional,K12,,Berkshire,"1161",49.4,24.0,0.6,-16.5,-26.8,11.4,3.4,40.0,24.0,51.7,41.2,6.9,"82,426",85.1,"15,722","7462",105.78,37,"7647"
06050000,Amherst-Pelham,Regional,Secondary,,Hampshire,"1340",24.6,21.7,6.2,-9.3,-22.6,7.3,7.6,57.0,54.0,49.7,42.3,8.5,"84,610",87.5,"21,864","6360",135.79,74,"6643"
06100000,Ashburnham-Westminster,Regional,K12,,Worcester,"2354",15.8,18.2,1.3,2.5,-3.0,4.6,5.9,53.0,49.0,52.5,48.7,6.8,"69,127",94.0,"12,389","4865",109.83,52,"4982"
06150000,Athol-Royalston,Regional,K12,,Worcester,"1453",48.7,26.0,2.0,1.1,-14.3,17.8,3.9,36.0,33.0,54.7,52.0,7.3,"64,604",77.3,"14,438","10017",104.46,32,"9995"
08170000,Essex North Shore Ag/Tech,RegionalVoc,Voc/Ag,,Essex,"1413",17.2,17.7,0.1,--,--,2.5,0.0,,,,,8.6,"75,202",80.8,"18,648","3833",105.51,88,"3887"
06180000,Berkshire Hills,Regional,K12,,Berkshire,"1203",29.0,18.3,3.2,-13.1,-12.6,6.9,18.5,47.0,38.0,47.4,50.5,9.2,"73,632",90.3,"20,978","2661",165.95,131,"2757"
06200000,Berlin-Boylston,Regional,Secondary,Single,Worcester,583,12.2,18.4,1.7,7.6,25.1,3.8,13.4,53.0,54.0,46.0,52.0,8.2,"58,750",93.6,"14,169","2052",144.79,103,"2033"
06220000,Blackstone-Millville,Regional,K12,,Worcester,"1699",22.0,17.0,2.4,-7.9,-20.8,5.1,2.6,44.0,41.0,42.2,49.3,7.1,"68,954",85.5,"13,509","6102",109.79,47,"6230"
06250000,Bridgewater-Raynham,Regional,K12,,Bristol,"5375",16.1,16.2,1.5,-0.5,-8.3,5.9,0.7,57.0,58.0,49.2,53.8,6.1,"88,305",93.3,"12,832","3881",115.96,61,"3959"
06320000,Chesterfield-Goshen,Regional,Elementary,Single,Hampshire,129,24.0,28.7,0.0,-17.3,-28.3,6.3,14.7,55.0,43.0,61.3,66.0,10.0,"72,256",88.2,"18,016","6105",141.06,63,"5988"
06350000,Central Berkshire,Regional,K12,,Berkshire,"1579",30.5,15.4,0.3,-9.0,-22.6,6.3,12.2,40.0,39.0,43.9,47.0,7.7,"73,632",92.2,"16,519","5347",127.91,68,"5420"
01050000,Georgetown,Municipal,K12,,Essex,"1404",8.8,11.2,0.2,-6.8,-17.5,8.4,3.2,60.0,53.0,49.3,43.2,6.9,"81,688",90.2,"13,761","4045",115.56,73,"4117"
06450000,Dennis-Yarmouth,Regional,K12,,Barnstable,"3025",39.9,19.5,9.5,-0.6,-12.6,12.2,4.2,36.0,38.0,45.9,47.8,8.9,"74,673",89.3,"16,761","2090",136.76,152,"2113"
06500000,Dighton-Rehoboth,Regional,K12,,Bristol,"2902",15.8,15.8,0.2,-3.4,-12.5,4.7,0.8,54.0,49.0,50.4,48.7,7.9,"72,299",90.6,"14,104","4443",116.32,64,"4450"
06550000,Dover-Sherborn,Regional,Secondary,,Norfolk,"1196",3.8,17.5,0.3,2.3,7.7,2.3,0.0,82.0,75.0,58.1,51.4,8.9,"94,331",94.7,"20,574","1697",171.52,235,"1785"
06580000,Dudley-Charlton,Regional,K12,,Worcester,"3800",21.0,14.9,2.4,-6.0,-13.2,5.8,3.9,54.0,48.0,45.6,42.2,6.9,"70,594",91.2,"11,920","6382",102.26,46,"6475"
06600000,Nauset,Regional,Secondary,,Barnstable,"1508",18.6,16.1,1.0,-4.8,-0.7,5.6,21.2,61.0,57.0,48.6,50.2,9.1,"84,750",94.2,"20,133","2922",172.01,247,"3036"
06620000,Farmington River,Regional,Elementary,Single,Berkshire,115,40.9,23.9,0.0,-11.5,-20.7,10.0,13.0,45.0,42.0,42.6,44.2,11.1,"53,966",75.0,"27,358","1824",153.69,170,"2070"
06650000,Freetown-Lakeville,Regional,K12,,Bristol,"2801",17.2,15.4,0.6,-5.7,43.7,5.9,2.5,55.0,57.0,50.1,52.1,7.0,"75,616",93.3,"12,843","3922",114.19,66,"3888"
06700000,Frontier,Regional,Secondary,Single,Franklin,647,17.8,20.2,0.8,4.5,-7.7,5.8,26.5,40.0,48.0,41.0,47.4,8.1,"41,691",89.5,"8,534","5120",141.26,82,"5015"
06720000,Gateway,Regional,K12,,Hampshire,825,31.0,19.9,2.7,-16.6,-32.4,9.8,5.3,47.0,40.0,47.0,48.1,9.8,"61,874",96.3,"18,040","6371",108.82,59,"6497"
06980000,Manchester Essex,Regional,K12,,Essex,"1387",7.8,9.0,0.4,-9.5,0.4,2.2,3.7,72.0,66.0,56.5,48.5,9.2,0,89.0,0,"2196",160.03,175,"2235"
06740000,Gill-Montague,Regional,K12,,Franklin,935,47.4,24.2,4.8,-7.4,-13.6,9.0,11.0,35.0,23.0,49.9,50.8,9.5,"61,785",82.6,"18,192","5737",137.36,52,"5658"
01740000,Maynard,Municipal,K12,,Middlesex,"1350",17.7,17.0,4.9,-4.8,1.9,6.4,2.7,45.0,40.0,41.8,48.1,7.5,"83,703",88.8,"16,228","3499",144.07,66,"3826"
06800000,Hampden-Wilbraham,Regional,K12,,Hampden,"3057",15.0,13.8,0.9,-8.6,-15.7,4.7,4.0,59.0,51.0,48.0,47.6,7.1,"78,733",89.5,"14,946","3893",122.43,70,"3988"
06830000,Hampshire,Regional,Secondary,Single,Hampshire,719,14.7,21.0,1.3,-4.9,-15.3,3.8,18.1,53.0,44.0,48.3,40.8,10.0,"69,526",96.0,"18,708","4590",135.07,66,"4775"
06850000,Hawlemont,Regional,Elementary,Single,Franklin,151,46.4,22.4,0.0,54.1,26.9,10.0,23.2,39.0,30.0,36.2,38.4,6.6,"69,289",53.8,"14,410","7584",139.12,55,"5977"
06900000,King Philip,Regional,Secondary,,Norfolk,"2024",8.8,16.4,0.7,-4.7,-2.8,3.1,0.0,64.0,59.0,43.5,37.9,6.4,"75,771",88.1,"13,986","3431",113.40,83,"3515"
08710000,Shawsheen Valley RVT,RegionalVoc,Voc/Ag,,Middlesex,"1294",14.9,24.8,0.1,-5.7,2.1,2.7,0.0,,,,,9.7,"93,081",94.5,"23,427","4727",117.73,77,"4810"
06400000,Concord-Carlisle,Regional,Secondary,Single,Middlesex,"1274",5.8,18.1,0.5,3.7,0.5,1.8,0.0,,,,,8.0,"102,630",93.2,"20,294","1839",171.68,178,"1947"
07000000,Martha's Vineyard,Regional,Secondary,Single,Dukes,642,24.1,20.2,10.1,-6.6,-9.4,8.3,0.0,,,,,11.3,"101,006",89.6,"30,856","4027",184.52,311,"4230"
08530000,Northeast Metropolitan RVT,RegionalVoc,Voc/Ag,,Middlesex,"1249",33.5,23.0,3.4,-1.0,0.3,4.8,0.0,,,,,9.2,"88,715",89.2,"21,871","7416",103.77,60,"7858"
07100000,Mendon-Upton,Regional,K12,,Worcester,"2302",9.1,15.2,1.7,-5.0,-20.3,4.0,7.2,57.0,53.0,38.9,40.8,6.9,"80,688",90.9,"15,324","5748",116.75,72,"5693"
07120000,Monomoy,Regional,K12,,Barnstable,"1891",25.3,15.7,4.2,1.2,--,8.0,13.5,55.0,50.0,53.1,59.3,9.4,"75,184",91.8,"18,520","1768",168.11,256,"1893"
07150000,Mount Greylock,Regional,K12,Single,Berkshire,"1196",17.9,15.2,0.3,105.9,83.7,3.7,8.2,75.0,64.0,62.5,36.7,8.7,"79,388",84.0,"19,306","3496",185.61,86,"3288"
07170000,Mohawk Trail,Regional,K12,,Franklin,904,34.6,21.9,0.3,-5.7,-21.9,7.8,7.6,47.0,39.0,45.6,42.2,9.6,"76,502",81.7,"19,880","6426",120.11,64,"6568"
07200000,Narragansett,Regional,K12,,Worcester,"1426",28.5,18.2,0.4,5.9,-13.2,4.4,17.0,41.0,38.0,49.1,47.9,7.0,"72,942",93.9,"12,651","7572",106.65,40,"7655"
07250000,Nashoba,Regional,K12,,Worcester,"3228",7.8,16.2,2.1,-6.0,-3.9,5.3,2.0,73.0,72.0,56.1,55.0,8.1,"80,165",91.0,"16,171","2139",121.27,83,"2210"
07280000,New Salem-Wendell,Regional,Elementary,Single,Franklin,149,29.5,17.4,0.0,8.0,0.0,5.6,26.8,51.0,39.0,56.4,59.5,8.9,"61,583",75.0,"17,997","5073",144.90,52,"5755"
07300000,Northboro-Southboro,Regional,Secondary,Single,Worcester,"1450",6.1,13.9,1.9,-1.4,2.8,3.0,0.0,,,,,7.9,"87,547",90.7,"16,564","2090",126.41,106,"2071"
08850000,Whittier RVT,RegionalVoc,Voc/Ag,,Essex,"1246",28.2,22.8,1.1,-3.0,5.8,2.9,0.2,,,,,9.1,"85,135",90.6,"20,626","7507",106.65,57,"7803"
07400000,Old Rochester,Regional,Secondary,,Plymouth,"1212",12.0,11.8,0.1,-0.9,6.2,3.8,9.7,66.0,66.0,47.2,49.7,7.4,"83,437",91.4,"15,565","2458",141.20,102,"2611"
01570000,Lincoln,Municipal,Elementary,,Middlesex,"1192",5.6,20.8,5.0,-4.9,5.9,18.2,0.0,57.0,59.0,53.1,50.5,9.9,"87,491",88.9,"22,269","1611",211.97,256,"1729"
07500000,Pioneer Valley,Regional,K12,,Franklin,743,21.7,19.5,0.1,-25.2,-35.4,5.9,15.7,50.0,46.0,52.9,55.0,8.2,"62,452",74.7,"18,691","5703",164.72,64,"5912"
07530000,Quabbin,Regional,K12,,Worcester,"2118",23.3,20.6,0.2,-14.8,-32.2,7.8,13.7,48.0,46.0,55.4,50.7,6.5,"70,956",84.5,"15,121","7968",110.49,47,"8006"
07550000,Ralph C Mahar,Regional,Secondary,,Franklin,731,38.0,18.6,0.8,-10.7,-4.4,11.2,30.3,40.0,43.0,54.7,61.6,7.9,"65,555",84.4,"15,818","8469",130.17,35,"8621"
07600000,Silver Lake,Regional,Secondary,,Plymouth,"1755",15.9,16.0,0.5,-7.3,-6.8,5.5,0.0,61.0,63.0,58.2,51.3,8.0,"84,466",93.0,"15,532","4384",119.01,60,"4483"
07630000,Somerset Berkley,Regional,HS,Single,Bristol,"1037",12.6,14.8,0.2,8.8,--,4.3,6.5,,,,,7.7,"74,121",90.4,"14,905","4960",129.69,54,"5257"
07650000,Southern Berkshire,Regional,K12,,Berkshire,688,34.7,19.6,1.6,-9.5,-22.3,8.0,16.3,49.0,41.0,49.9,49.4,10.3,"66,601",84.6,"24,135","2942",168.31,171,"3054"
07660000,Southwick-Tolland-Granville,Regional,K12,,Hampden,"1511",22.8,16.6,3.3,-11.6,-17.4,5.4,8.7,45.0,38.0,44.4,43.9,8.5,"66,809",92.6,"14,397","6577",102.50,70,"6752"
07670000,Spencer-E Brookfield,Regional,K12,,Worcester,"1379",35.1,23.5,3.7,-25.2,-34.2,14.3,4.5,41.0,36.0,49.1,50.5,8.2,"65,023",88.5,"15,781","8544",101.68,46,"8704"
07700000,Tantasqua,Regional,Secondary,,Worcester,"1812",19.4,10.8,0.2,1.9,0.7,5.4,10.2,41.0,56.0,41.8,46.0,7.7,"78,956",91.5,"14,617","5322",110.37,53,"5510"
08010000,Assabet Valley RVT,RegionalVoc,Voc/Ag,,Middlesex,"1134",25.0,27.8,3.8,10.5,21.5,3.6,0.0,,,,,9.6,"71,113",93.8,"19,781","6408",105.00,65,"6850"
07740000,Up-Island Regional,Regional,Elementary,,Dukes,416,22.4,22.1,6.0,22.4,23.1,12.8,12.0,63.0,62.0,58.9,59.7,11.6,"89,092",85.7,"27,029","2179",284.24,432,"2150"
07750000,Wachusett,Regional,K12,,Worcester,"7103",10.3,15.1,1.7,-3.8,-3.2,4.2,1.3,67.0,64.0,49.2,49.1,6.5,"74,636",92.9,"12,280","3799",116.61,60,"3981"
07780000,Quaboag,Regional,K12,,Worcester,"1303",35.7,17.2,0.9,-5.7,-9.1,8.6,11.8,44.0,45.0,44.5,53.9,7.8,"65,396",84.9,"13,772","6951",103.44,36,"7429"
07800000,Whitman-Hanson,Regional,K12,,Plymouth,"3822",20.2,15.1,1.2,-8.2,-14.4,5.8,1.5,52.0,44.0,52.1,45.8,6.3,"82,500",89.5,"12,740","6361",104.23,49,"6524"
02520000,Rockport,Municipal,K12,,Essex,888,19.4,18.6,1.4,-8.3,-11.5,2.7,28.0,55.0,46.0,47.8,50.1,10.4,"77,009",81.5,"18,387","1988",192.51,152,"2157"
08050000,Blackstone Valley RVT,RegionalVoc,Voc/Ag,,Worcester,"1230",9.8,9.5,0.2,5.7,11.5,1.4,0.0,,,,,8.2,"76,677",90.0,"19,261","6675",105.38,59,"6635"
08060000,Blue Hills RVT,RegionalVoc,Voc/Ag,,Norfolk,856,23.5,24.9,0.7,1.7,1.4,2.3,0.0,,,,,9.6,"81,164",90.2,"22,788","5375",116.50,74,"5623"
08100000,Bristol-Plymouth RVT,RegionalVoc,Voc/Ag,,Bristol,"1288",24.7,16.6,0.2,0.1,7.8,4.2,0.0,,,,,7.6,"90,893",92.7,"18,753","8204",101.77,48,"8520"
08150000,Cape Cod RVT,RegionalVoc,Voc/Ag,,Barnstable,571,39.1,32.0,2.6,-12.7,-18.8,9.3,0.0,,,,,11.2,"79,080",85.5,"26,771","3450",128.16,165,"3666"
08290000,South Middlesex RVT,RegionalVoc,Voc/Ag,,Middlesex,750,40.8,41.6,13.2,8.5,18.5,7.4,0.0,,,,,10.7,"82,388",90.1,"26,677","6156",133.32,68,"6599"
08180000,Franklin County RVT,RegionalVoc,Voc/Ag,,Franklin,494,34.6,33.0,0.0,-5.5,-4.4,6.1,0.0,,,,,9.8,"77,752",83.3,"25,974","7982",115.28,58,"7851"
08210000,Greater Fall River RVT,RegionalVoc,Voc/Ag,,Bristol,"1413",35.5,11.3,1.6,0.4,4.4,3.7,0.0,,,,,9.0,"88,863",97.1,"19,834","11019",98.82,38,"11227"
00380000,Boxford,Municipal,Elementary,,Essex,718,4.0,18.3,0.7,-3.9,-23.5,2.6,0.0,71.0,67.0,51.6,56.3,8.5,"85,202",90.3,"17,889","2308",167.89,138,"2453"
08250000,Greater New Bedford RVT,RegionalVoc,Voc/Ag,,Bristol,"2139",37.9,10.8,3.3,-0.4,3.6,2.8,0.0,,,,,9.1,"81,507",93.0,"19,818","11531",107.16,34,"11834"
01840000,Middleton,Municipal,Elementary,,Essex,700,7.6,16.7,1.0,-9.6,-20.5,4.4,0.0,66.0,61.0,52.1,51.1,9.5,"84,743",91.7,"17,599","2442",149.80,97,"2521"
08520000,Nashoba Valley RVT,RegionalVoc,Voc/Ag,,Middlesex,684,18.1,36.7,0.7,-3.8,6.5,5.1,8.9,,,,,9.7,"79,705",87.5,"20,508","5450",108.30,68,"5637"
02980000,Topsfield,Municipal,Elementary,,Essex,641,3.6,17.2,0.3,6.5,-5.3,2.9,0.0,69.0,61.0,48.5,52.6,8.5,"75,408",92.3,"15,127","2009",168.41,107,"2036"
08320000,Montachusett RVT,RegionalVoc,Voc/Ag,,Worcester,"1422",23.8,14.8,0.6,-0.8,6.0,4.9,1.3,,,,,8.0,"79,202",96.5,"19,393","9455",99.89,41,"9908"
08510000,Northern Berkshire RVT,RegionalVoc,Voc/Ag,,Berkshire,496,31.9,17.3,0.0,-1.8,-0.8,5.0,0.0,,,,,8.1,"76,234",85.1,"21,642","10263",105.05,39,"10570"
00510000,Carlisle,Municipal,Elementary,Single,Middlesex,600,3.2,15.6,2.3,-6.3,-16.7,4.0,0.0,79.0,80.0,55.4,56.9,9.4,"100,691",94.8,"19,308","1654",208.27,159,"1673"
08300000,Minuteman RVT,RegionalVoc,Voc/Ag,,Middlesex,515,21.2,46.8,2.1,-28.0,-17.6,6.2,0.0,,,,,13.7,"96,788",92.0,"35,151","5997",113.08,113,"6097"
08550000,Old Colony RVT,RegionalVoc,Voc/Ag,,Bristol,550,16.5,24.9,0.2,-5.0,-3.8,5.3,0.0,,,,,10.2,"74,812",91.4,"22,283","7091",102.62,64,"7152"
08600000,Pathfinder RVT,RegionalVoc,Voc/Ag,,Hampden,648,37.3,29.2,0.0,6.1,4.2,5.8,4.8,,,,,11.5,"73,685",80.0,"23,311","9428",121.19,43,"9528"
02690000,Sherborn,Municipal,Elementary,Single,Middlesex,413,4.8,15.6,2.4,7.3,-15.0,2.5,0.0,76.0,80.0,59.9,61.9,7.9,"90,800",97.1,"17,317","1597",204.68,182,"1688"
08720000,Southeastern RVT,RegionalVoc,Voc/Ag,,Bristol,"1444",32.8,14.5,1.0,12.8,15.4,4.3,0.0,,,,,8.1,"80,261",92.4,"20,413","10331",100.15,38,"10673"
08730000,South Shore RVT,RegionalVoc,Voc/Ag,,Plymouth,645,23.3,29.8,0.5,7.5,10.4,3.4,0.0,,,,,9.8,"78,083",89.4,"21,142","6947",116.79,61,"7154"
08760000,Southern Worcester County RVT,RegionalVoc,Voc/Ag,,Worcester,"1131",23.2,15.4,0.5,2.4,3.1,3.1,0.0,,,,,9.9,"75,373",91.1,"19,464","9017",100.36,44,"9154"
08780000,Tri-County RVT,RegionalVoc,Voc/Ag,,Norfolk,"1024",19.3,31.6,0.1,-1.3,11.8,4.0,0.0,,,,,8.5,"87,072",89.1,"19,868","5877",101.65,69,"6063"
08790000,Upper Cape Cod RVT,RegionalVoc,Voc/Ag,,Barnstable,703,24.2,21.5,0.0,3.8,8.5,4.3,0.0,,,,,10.3,"72,999",93.2,"21,500","4095",107.73,96,"4241"
01960000,Nahant,Municipal,Elementary,Single,Essex,151,17.2,24.5,0.0,-16.1,-38.6,10.9,0.0,55.0,53.0,37.5,44.4,6.6,"74,501",84.6,"18,006","1881",148.22,240,"1984"
09100000,Bristol County Agricultural,CountyAg,Voc/Ag,,Bristol,454,23.8,13.2,0.0,0.7,5.8,0.9,0.0,,,,,7.6,"70,003",91.7,"21,529","7349",107.65,57,"7814"
09150000,Norfolk County Agr,CountyAg,Voc/Ag,,Norfolk,557,13.5,20.1,0.2,17.0,22.7,3.1,0.0,,,,,10.0,"71,071",91.2,"23,164","4392",118.57,86,"4453"
35010000,Paulo Freire Social Justice,CharterC,Secondary,Single,,275,79.6,24.0,10.9,--,--,20.6,0.0,,,,,8.9,,47.4,0,,,0,--
35020000,Baystate Academy,CharterC,Secondary,Single,,500,69.8,20.2,13.0,--,--,9.2,0.0,19.0,19.0,33.3,32.3,11.7,,61.5,0,,,0,--
35030000,Collegiate Charter of Lowell,CharterC,Secondary,Single,,846,40.4,9.0,22.6,--,--,11.5,0.0,36.0,28.0,41.3,44.4,5.1,,65.0,0,,,0,--
35040000,City on a Hill Dudley Square,CharterC,Secondary,Single,,245,55.9,24.5,22.0,--,--,13.3,0.0,,,,,10.0,,45.9,0,,,0,--
35050000,UP Academy Dorchester,CharterC,Elementary,Single,,724,63.3,16.4,30.9,--,--,14.0,0.0,29.0,23.0,44.8,39.7,7.6,,59.6,0,,,0,--
35060000,Pioneer Charter School of Science II,CharterC,Secondary,Single,,362,23.2,12.2,24.0,--,--,12.7,0.0,69.0,79.0,60.1,75.0,9.8,,68.6,0,,,0,--
35070000,City on a Hill New Bedford,CharterC,Secondary,Single,,217,67.3,31.8,21.2,--,--,10.4,0.0,,,,,9.2,,30.0,0,,,0,--
35080000,Phoenix Academy Springfield,CharterC,Secondary,Single,,198,86.4,32.3,18.7,--,--,60.2,0.0,,,,,6.2,,56.3,0,,,0,--
35090000,Argosy Collegiate,CharterC,Secondary,Single,,466,56.0,21.0,34.1,--,--,11.2,0.0,26.0,31.0,39.0,44.8,8.4,,57.9,0,,,0,--
35100000,Springfield Preparatory,CharterC,Elementary,Single,,271,72.7,17.0,21.0,--,--,11.2,0.0,72.0,77.0,,,8.7,,75.0,0,,,0,--
35110000,Bentley Academy,CharterC,Elementary,Single,,339,67.0,13.9,23.9,--,--,17.8,0.0,33.0,31.0,38.5,43.8,8.7,,89.7,0,,,0,--
35130000,New Heights Charter Brockton,CharterC,Secondary,Single,,532,40.0,10.2,10.7,--,--,24.7,0.0,32.0,21.0,50.9,46.8,6.3,,46.9,0,,,0,--
35140000,Libertas Academy,CharterC,Secondary,Single,,178,82.6,25.8,24.7,--,--,20.0,0.0,10.0,24.0,30.0,43.2,8.1,,75.0,0,,,0,--
35150000,Old Sturbridge Academy,CharterC,Elementary,Single,,200,31.0,14.0,6.5,--,--,4.9,0.0,54.0,38.0,,,6.8,,75.0,0,,,0,--
35160000,Hampden Charter School of Science West,CharterC,Secondary,Single,,209,44.0,17.2,12.4,--,--,--,0.0,,,,,9.6,,--,0,,,0,--
35170000,Map Academy Charter School,CharterC,Secondary,Single,,130,50.0,37.7,0.0,--,--,--,0.0,,,,,7.1,,--,0,,,0,--
35180000,Phoenix Academy Lawrence,CharterC,Secondary,Single,,119,60.5,27.7,26.9,--,--,--,0.0,,,,,11.2,,--,0,,,0,--
39010000,MA Virtual Academy Greenfield,Virtual,K12,Single,,590,48.5,21.2,0.2,--,--,41.5,100.0,26.0,19.0,43.2,42.9,6.4,,87.9,0,,,0,--
39020000,TEC Connections Academy Virtual,Virtual,K12,Single,,"2143",46.5,19.4,1.4,--,--,55.8,100.0,28.0,21.0,39.2,34.9,3.8,,75.0,0,,,0,--
