District,District_Code,African_American,Asian,Hispanic,White,Native_American,Native_Hawaiian_Pacific_Islander,MultiRace_NonHispanic,Males,Females
Hampden Charter School of Science East (District),04990000,29.5,2.0,32.5,33.7,0.2,0.0,2.2,47.8,52.2
Hampden Charter School of Science West (District),35160000,12.4,1.4,28.2,55.0,0.5,0.0,2.4,51.2,48.8
Hampden-Wilbraham,06800000,2.5,2.7,7.1,84.2,0.2,0.1,3.2,49.8,50.2
Hampshire,06830000,0.6,0.8,2.8,93.3,0.0,0.0,2.5,47.0,52.9
Hancock,01210000,2.9,0.0,0.0,97.1,0.0,0.0,0.0,52.9,47.1
Hanover,01220000,0.9,2.3,2.3,93.8,0.0,0.0,0.6,52.4,47.6
Harvard,01250000,2.1,11.2,4.0,79.6,0.0,0.0,3.1,49.2,50.7
Hatfield,01270000,0.5,1.4,4.8,90.8,0.0,0.0,2.5,51.4,48.2
Haverhill,01280000,4.4,1.7,36.9,54.5,0.2,0.1,2.1,51.9,48.1
Hawlemont,06850000,0.7,0.0,9.3,84.8,0.7,0.0,4.6,41.7,58.3
Helen Y. Davis Leadership Academy Charter Public (District),04190000,71.7,0.5,26.2,0.5,0.5,0.5,0.0,51.8,48.2
Hill View Montessori Charter Public (District),04550000,5.3,0.3,23.4,68.8,0.0,0.0,2.3,46.1,53.9
Hilltown Cooperative Charter Public (District),04500000,0.9,0.9,4.1,81.6,0.0,0.0,12.4,52.1,47.5
Hingham,01310000,1.2,2.6,3.1,90.1,0.0,0.0,2.9,51.4,48.6
Holbrook,01330000,21.0,4.9,13.4,52.5,0.2,0.0,7.9,52.1,47.8
Holland,01350000,1.3,1.3,7.1,89.4,0.0,0.0,0.9,50.4,49.6
Holliston,01360000,1.0,8.3,5.1,82.5,0.2,0.0,3.0,51.8,48.1
Holyoke,01370000,3.1,0.8,81.0,13.8,0.1,0.0,1.2,52.7,47.2
Holyoke Community Charter (District),04530000,1.4,0.6,92.0,4.4,0.0,0.0,1.6,46.2,53.8
Hopedale,01380000,0.9,1.6,5.7,86.8,0.6,0.2,4.1,51.8,48.2
Hopkinton,01390000,0.7,17.1,3.5,75.1,0.2,0.0,3.4,50.4,49.6
Hudson,01410000,1.8,1.9,11.8,81.7,0.1,0.0,2.6,49.2,50.8
Hull,01420000,1.4,1.6,1.9,93.1,0.0,0.0,2.0,53.4,46.6
Innovation Academy Charter (District),04350000,5.8,7.7,7.5,73.9,0.1,0.0,5.0,46.9,53.1
Ipswich,01440000,1.2,1.8,5.5,87.4,0.1,0.0,4.1,49.3,50.6
King Philip,06900000,1.9,2.2,3.0,90.9,0.0,0.0,1.9,51.9,48.0
Kingston,01450000,0.7,0.4,2.5,95.3,0.5,0.0,0.7,50.9,49.0
KIPP Academy Boston Charter School (District),04630000,67.7,0.5,30.0,0.3,0.2,0.0,1.3,52.5,47.5
KIPP Academy Lynn Charter (District),04290000,20.3,3.2,67.4,5.9,0.1,0.1,3.0,49.0,51.0
Lawrence,01490000,1.3,1.2,93.4,3.7,0.0,0.0,0.4,52.5,47.3
Lawrence Family Development Charter (District),04540000,0.7,0.0,98.3,1.1,0.0,0.0,0.0,44.7,55.3
Lee,01500000,0.6,3.4,8.5,84.8,0.1,0.0,2.6,50.2,49.8
Leicester,01510000,5.4,2.6,8.9,80.1,0.2,0.1,2.7,54.1,45.8
Lenox,01520000,0.4,4.4,8.5,82.9,0.0,0.0,3.8,50.0,50.0
Leominster,01530000,8.2,3.2,34.9,49.3,0.1,0.1,4.2,52.0,47.9
Leverett,01540000,0.0,0.0,5.9,84.4,0.0,0.0,9.6,58.5,41.5
Lexington,01550000,4.0,39.3,4.0,45.9,0.1,0.0,6.8,50.9,49.1
Libertas Academy Charter School (District),35140000,12.4,0.0,84.8,1.7,0.0,0.0,1.1,55.6,44.4
Lincoln,01570000,8.9,3.6,15.9,60.7,0.3,0.3,10.3,49.7,50.3
Lincoln-Sudbury,06950000,4.8,6.2,4.6,79.8,0.1,0.1,4.4,52.8,47.2
Littleton,01580000,0.9,9.3,1.8,84.8,0.2,0.2,2.8,47.8,52.1
Longmeadow,01590000,2.4,9.9,5.0,78.7,0.0,0.1,3.8,51.0,49.0
Lowell,01600000,7.9,28.7,33.1,26.4,0.1,0.0,3.9,51.6,48.4
Lowell Community Charter Public (District),04560000,25.2,19.1,47.7,4.1,0.0,0.0,3.8,49.9,50.0
Lowell Middlesex Academy Charter (District),04580000,3.7,28.0,34.1,29.3,0.0,0.0,4.9,56.1,43.9
Ludlow,01610000,2.0,0.7,10.8,83.5,0.4,0.0,2.6,50.5,49.5
Lunenburg,01620000,2.1,2.0,7.0,86.1,0.4,0.3,2.1,51.4,48.6
Lynn,01630000,9.2,8.5,63.0,15.4,0.3,0.0,3.5,52.4,47.5
Lynnfield,01640000,1.7,6.0,5.3,84.2,0.0,0.0,2.7,49.9,50.1
Ma Academy for Math and Science,04680000,2.0,50.0,4.1,35.7,0.0,0.0,8.2,53.1,46.9
Malden,01650000,19.3,23.2,24.7,28.4,0.1,0.0,4.2,51.7,48.2
Manchester Essex Regional,06980000,0.6,0.9,1.3,96.1,0.0,0.0,1.1,49.2,50.8
Mansfield,01670000,3.6,6.6,4.7,81.3,0.1,0.0,3.8,52.4,47.6
Map Academy Charter School (District),35170000,7.7,0.0,20.0,63.8,0.8,1.5,6.2,63.1,36.9
Marblehead,01680000,2.8,1.6,6.9,85.4,0.1,0.0,3.2,50.6,49.4
Marblehead Community Charter Public (District),04640000,6.2,2.7,3.1,85.0,0.9,0.0,2.2,55.3,44.7
Marion,01690000,3.1,1.3,2.9,87.0,0.4,0.0,5.1,53.9,46.1
Marlborough,01700000,3.6,3.5,49.0,41.1,0.1,0.1,2.6,51.9,48.1
Marshfield,01710000,0.4,1.2,2.9,93.5,0.1,0.1,1.7,51.2,48.8
Martha's Vineyard,07000000,4.8,1.1,15.7,71.8,2.5,0.6,3.4,55.1,44.7
Martha's Vineyard Charter (District),04660000,2.7,0.5,12.1,73.6,2.2,0.0,8.8,45.1,54.9
Martin Luther King Jr. Charter School of Excellence (District),04920000,34.7,1.1,58.3,1.9,0.0,0.0,4.0,49.2,50.8
Masconomet,07050000,0.4,3.8,2.5,91.0,0.2,0.1,2.1,47.8,52.2
Mashpee,01720000,4.3,2.2,5.0,73.9,6.1,0.2,8.2,51.4,48.6
MATCH Charter Public School (District),04690000,46.3,0.6,48.4,2.0,0.5,0.2,2.1,47.2,52.8
Mattapoisett,01730000,0.7,1.6,4.3,88.7,0.0,0.0,4.8,52.6,47.4
Maynard,01740000,2.6,2.0,11.9,78.7,0.1,0.0,4.7,50.8,49.2
Medfield,01750000,1.0,4.2,3.9,87.3,0.3,0.0,3.3,51.3,48.7
Medford,01760000,12.8,9.6,12.7,59.6,0.4,0.1,4.8,51.7,48.3
Medway,01770000,1.5,2.8,3.9,89.3,0.1,0.1,2.3,49.6,50.4
Melrose,01780000,5.3,5.8,4.9,79.0,0.0,0.0,5.0,48.9,51.1
Mendon-Upton,07100000,0.5,2.2,4.3,90.5,0.1,0.0,2.4,50.1,49.9
Methuen,01810000,2.0,3.9,41.3,47.9,0.1,0.1,4.7,52.3,47.7
Middleborough,01820000,2.5,1.1,3.1,88.6,0.9,0.0,3.8,51.5,48.5
Middleton,01840000,0.7,4.7,3.4,86.3,1.0,0.1,3.7,49.9,50.1
Milford,01850000,2.9,2.1,28.4,61.4,1.5,0.0,3.5,52.3,47.7
Millbury,01860000,2.8,3.4,7.4,81.2,0.0,0.1,5.0,49.9,50.1
Millis,01870000,1.1,2.2,7.9,84.6,0.2,0.1,3.8,49.8,50.2
Milton,01890000,14.2,7.2,4.4,69.4,0.1,0.1,4.6,50.1,49.8
Minuteman Regional Vocational Technical,08300000,3.3,5.4,7.2,79.2,0.2,0.0,4.7,63.5,36.1
Mohawk Trail,07170000,0.4,0.4,4.5,91.5,0.1,0.1,2.9,49.3,50.6
Monomoy Regional School District,07120000,6.6,1.4,7.2,78.4,0.6,0.2,5.6,50.8,49.2
Monson,01910000,0.9,1.1,3.7,91.5,0.1,0.5,2.2,49.3,50.7
Montachusett Regional Vocational Technical,08320000,2.0,1.5,16.2,76.4,0.1,0.0,3.8,50.4,49.1
Mount Greylock,07150000,1.2,1.1,3.6,89.8,0.0,0.0,4.3,49.2,50.8
Mystic Valley Regional Charter (District),04700000,17.8,21.1,9.3,47.3,0.3,0.0,4.3,49.4,50.6
Nahant,01960000,0.0,0.7,4.6,92.7,0.0,0.0,2.0,48.3,51.7
Nantucket,01970000,10.4,1.9,31.7,52.0,0.1,0.0,4.0,51.6,48.3
Narragansett,07200000,1.3,0.3,6.0,89.1,0.1,0.1,3.2,53.4,46.5
Nashoba,07250000,1.3,3.2,4.8,87.6,0.1,0.1,3.0,50.2,49.8
Nashoba Valley Regional Vocational Technical,08520000,1.6,1.8,4.8,88.9,0.4,0.0,2.5,61.4,38.3
Natick,01980000,2.7,10.3,6.0,75.6,0.1,0.1,5.2,51.2,48.8
Nauset,06600000,5.0,2.5,4.5,84.3,0.2,0.1,3.4,46.4,53.4
Needham,01990000,2.9,8.8,5.8,77.3,0.1,0.0,5.1,49.9,50.1
Neighborhood House Charter (District),04440000,53.4,2.9,21.5,16.9,0.5,0.0,4.8,50.0,50.0
New Bedford,02010000,13.2,0.9,40.3,39.8,0.4,0.1,5.3,52.3,47.7
New Heights Charter School of Brockton (District),35130000,89.5,0.9,7.0,2.1,0.2,0.0,0.4,49.6,50.4
New Salem-Wendell,07280000,0.0,0.0,6.0,85.9,0.0,0.0,8.1,48.3,51.7
Newburyport,02040000,1.0,1.9,3.5,91.5,0.0,0.0,2.0,49.2,50.8
Newton,02070000,4.7,19.0,7.6,62.1,0.1,0.0,6.5,50.9,49.1
Norfolk,02080000,0.8,2.7,3.0,90.9,0.0,0.0,2.6,53.3,46.7
Norfolk County Agricultural,09150000,1.3,1.3,2.7,90.5,0.4,0.2,3.8,27.5,72.5
North Adams,02090000,2.6,0.4,6.4,82.6,0.2,0.1,7.6,49.5,50.5
North Andover,02110000,3.2,8.0,11.0,74.3,0.2,0.1,3.0,50.7,49.3
North Attleborough,02120000,3.9,6.8,4.7,80.4,0.2,0.1,3.9,50.9,49.0
North Brookfield,02150000,0.7,0.2,5.1,90.4,0.0,0.0,3.7,52.1,47.9
North Middlesex,07350000,1.6,1.5,4.3,89.0,0.1,0.1,3.3,50.7,49.3
North Reading,02170000,0.6,4.1,3.4,88.9,0.1,0.1,2.8,50.6,49.4
Northampton,02100000,2.8,3.9,16.7,69.8,0.2,0.0,6.6,51.6,48.4
Northampton-Smith Vocational Agricultural,04060000,1.2,0.4,14.5,81.8,0.0,0.0,2.0,54.7,45.3
Northboro-Southboro,07300000,1.2,11.1,5.1,78.6,0.4,0.2,3.3,48.6,51.4
Northborough,02130000,1.8,12.5,8.2,72.5,0.2,0.6,4.2,52.2,47.8
Northbridge,02140000,1.0,0.7,8.3,85.2,0.0,0.1,4.7,51.4,48.5
Northeast Metropolitan Regional Vocational Technical,08530000,2.9,1.2,33.2,60.4,0.1,0.2,2.1,54.1,45.9
Northern Berkshire Regional Vocational Technical,08510000,0.6,0.2,1.8,94.8,0.0,0.0,2.6,61.9,38.1
Norton,02180000,2.0,1.8,3.9,88.0,0.2,0.1,4.0,50.2,49.8
Norwell,02190000,0.5,2.2,1.6,92.9,0.1,0.2,2.6,51.8,48.2
Norwood,02200000,11.1,8.0,12.7,65.0,0.0,0.5,2.7,51.2,48.8
Oak Bluffs,02210000,3.7,1.4,24.6,61.6,1.6,0.0,7.1,49.0,51.0
Old Colony Regional Vocational Technical,08550000,2.0,0.7,2.5,92.2,0.2,0.0,2.4,62.7,37.3
Old Rochester,07400000,1.9,1.7,2.1,90.6,0.1,0.0,3.5,51.2,48.8
Old Sturbridge Academy Charter Public School (District),35150000,5.5,1.5,11.5,81.0,0.0,0.0,0.5,52.0,48.0
Orange,02230000,1.7,0.5,8.0,85.5,0.2,0.0,4.1,52.6,47.4
Orleans,02240000,1.8,1.4,7.3,86.2,0.5,0.0,2.8,51.4,48.6
Oxford,02260000,2.2,1.7,11.8,79.4,0.1,0.2,4.6,52.0,47.9
Palmer,02270000,3.1,2.3,10.9,79.0,0.0,0.0,4.8,50.1,49.9
Pathfinder Regional Vocational Technical,08600000,1.1,0.3,5.7,89.4,0.5,0.0,3.1,63.1,36.4
Paulo Freire Social Justice Charter School (District),35010000,3.6,0.4,91.6,4.4,0.0,0.0,0.0,42.5,57.5
Peabody,02290000,3.5,1.8,14.6,78.2,0.0,0.0,1.8,50.7,49.2
Pelham,02300000,4.4,2.2,11.1,77.0,0.0,0.0,5.2,51.9,48.1
Pembroke,02310000,0.6,1.1,0.4,96.2,0.1,0.1,1.6,51.8,48.2
Pentucket,07450000,0.5,1.3,4.6,91.5,0.0,0.0,2.1,53.3,46.7
Petersham,02340000,0.0,0.9,6.1,89.6,0.0,0.0,3.5,48.7,51.3
Phoenix Academy Public Charter High School Lawrence (District),35180000,0.0,0.0,93.3,5.9,0.8,0.0,0.0,65.5,34.5
Phoenix Academy Public Charter High School Springfield (District),35080000,17.7,0.5,70.2,8.6,0.0,0.0,3.0,49.5,50.5
