District,District_Code,African_American,Asian,Hispanic,White,Native_American,Native_Hawaiian_Pacific_Islander,MultiRace_NonHispanic,Males,Females
Sturgis Charter Public (District),04890000,2.5,3.5,5.5,85.3,0.5,0.1,2.6,44.4,55.6
Sudbury,02880000,3.5,9.9,4.0,75.5,0.0,0.2,6.8,51.1,48.9
Sunderland,02890000,3.4,8.2,10.8,67.7,0.0,0.0,9.9,54.7,45.3
Sutton,02900000,1.0,1.3,2.2,91.4,0.1,0.0,4.0,50.5,49.5
Swampscott,02910000,3.3,2.6,11.1,80.2,0.2,0.0,2.4,51.2,48.8
Swansea,02920000,0.8,1.1,2.3,94.3,0.2,0.0,1.3,50.7,49.3
Tantasqua,07700000,0.7,1.0,5.2,90.2,0.2,0.0,2.8,50.5,49.4
Taunton,02930000,16.6,1.4,12.5,63.9,0.2,0.1,5.2,51.0,49.0
TEC Connections Academy Commonwealth Virtual School District,39020000,8.2,2.8,15.0,65.9,0.4,0.2,7.5,42.5,57.5
Tewksbury,02950000,3.4,3.6,4.6,87.1,0.1,0.0,1.2,50.6,49.4
Tisbury,02960000,5.1,0.3,25.9,60.6,1.3,0.0,6.7,53.5,46.5
Topsfield,02980000,0.5,1.1,2.3,92.5,0.8,0.0,2.8,49.5,50.5
Tri-County Regional Vocational Technical,08780000,0.7,1.0,5.7,87.9,0.3,0.3,4.2,58.3,41.5
Triton,07730000,1.0,1.6,3.1,92.2,0.1,0.2,1.9,51.5,48.5
Truro,03000000,7.5,0.0,10.4,64.2,0.0,0.0,17.9,48.1,51.9
Tyngsborough,03010000,3.7,6.8,4.6,81.5,0.2,0.0,3.2,51.2,48.8
UP Academy Charter School of Boston (District),04800000,44.1,6.0,44.7,2.5,0.0,0.2,2.5,52.4,47.6
UP Academy Charter School of Dorchester (District),35050000,54.8,0.8,40.5,1.1,0.4,0.7,1.7,50.4,49.6
Up-Island Regional,07740000,1.0,0.7,5.8,80.8,4.6,0.0,7.2,53.6,46.4
Upper Cape Cod Regional Vocational Technical,08790000,4.7,1.7,2.7,84.8,0.7,0.0,5.4,64.2,35.8
Uxbridge,03040000,1.5,1.4,4.6,90.0,0.5,0.1,2.0,53.9,46.1
Veritas Preparatory Charter School (District),04980000,17.0,1.4,74.1,4.9,0.3,0.0,2.3,46.4,53.6
Wachusett,07750000,2.2,2.9,5.4,87.2,0.1,0.0,2.2,50.2,49.8
Wakefield,03050000,2.9,3.6,6.8,83.2,0.2,0.3,3.1,50.7,49.3
Wales,03060000,2.0,0.7,1.4,92.5,0.7,0.0,2.7,54.4,45.6
Walpole,03070000,3.4,6.4,5.4,81.9,0.3,0.0,2.6,50.0,49.9
Waltham,03080000,9.7,5.3,40.7,41.9,0.1,0.0,2.3,52.7,47.3
Ware,03090000,1.7,0.7,5.7,87.9,0.1,0.2,3.8,50.0,50.0
Wareham,03100000,8.6,1.1,8.0,69.9,1.2,0.1,11.0,51.4,48.6
Watertown,03140000,3.8,7.9,17.2,64.9,0.5,0.1,5.7,51.5,48.5
Wayland,03150000,5.1,15.5,4.5,69.1,0.0,0.2,5.5,50.3,49.7
Webster,03160000,5.4,2.1,27.2,58.2,0.1,0.1,6.9,49.5,50.4
Wellesley,03170000,3.7,14.2,5.1,70.2,0.1,0.0,6.7,49.0,51.0
Wellfleet,03180000,2.9,1.0,2.9,82.9,0.0,0.0,10.5,55.2,44.8
West Boylston,03220000,3.0,1.8,10.8,80.0,0.1,0.0,4.3,48.5,51.5
West Bridgewater,03230000,4.7,1.0,3.3,86.3,0.4,0.1,4.3,48.9,51.1
West Springfield,03320000,3.5,8.2,19.2,66.3,0.1,0.0,2.7,51.2,48.8
Westborough,03210000,1.9,34.2,6.5,54.4,0.1,0.1,2.9,50.3,49.7
Westfield,03250000,2.3,3.3,15.4,76.4,0.1,0.0,2.4,51.2,48.8
Westford,03260000,0.9,26.8,1.8,66.6,0.1,0.0,3.8,51.4,48.6
Westhampton,03270000,0.0,0.8,4.1,94.2,0.0,0.0,0.8,52.9,47.1
Weston,03300000,6.3,17.2,6.1,64.9,0.2,0.0,5.3,50.8,49.2
Westport,03310000,0.3,0.6,3.5,91.2,0.3,0.0,4.2,54.6,45.4
Westwood,03350000,2.2,10.8,3.7,79.5,0.0,0.0,3.9,50.6,49.4
Weymouth,03360000,6.7,6.3,9.3,73.4,0.2,0.1,4.0,50.9,49.0
Whately,03370000,0.7,0.7,5.0,91.4,0.0,0.0,2.2,50.4,49.6
Whitman-Hanson,07800000,2.4,1.2,4.7,88.3,0.4,0.1,2.8,51.6,48.4
Whittier Regional Vocational Technical,08850000,2.3,1.0,20.9,71.9,0.3,0.0,3.5,54.0,46.0
Williamsburg,03400000,2.0,1.4,4.8,91.8,0.0,0.0,0.0,49.7,50.3
Wilmington,03420000,1.3,5.1,4.3,85.7,0.1,0.0,3.4,50.6,49.3
Winchendon,03430000,1.5,2.3,7.3,85.0,0.1,0.1,3.8,54.2,45.8
Winchester,03440000,1.0,17.4,3.4,72.0,0.2,0.0,6.0,50.5,49.5
Winthrop,03460000,1.4,0.8,15.6,80.5,0.1,0.0,1.6,50.7,49.3
Woburn,03470000,7.4,7.5,10.3,71.0,0.6,0.2,3.1,49.2,50.8
Worcester,03480000,16.3,6.7,42.9,29.6,0.2,0.0,4.3,51.1,48.9
Worthington,03490000,0.0,0.0,4.1,89.2,2.7,0.0,4.1,47.3,52.7
Wrentham,03500000,1.5,2.6,4.1,86.9,0.3,0.1,4.6,52.5,47.5
State Totals,00000000,9.2,7.0,20.8,59.0,0.2,0.1,3.8,51.2,48.7
